Day fraction since midnight on,photometer (mg/L),(volts)
0.6185838632,1.045526147,3.369832754
0.6185954343,1.052482605,3.366293192
0.6186070133,1.045652151,3.36976862
0.6186185731,1.041644454,3.371809006
0.618630165,1.045509338,3.369841337
0.6186417229,1.046866298,3.369150639
0.6186532908,1.057809949,3.36358428
0.6186648711,1.047588706,3.368782997
0.6186764552,1.050500393,3.367301464
0.6186880089,1.048401117,3.368369579
0.6186995936,1.048168778,3.368487835
0.6187111681,1.044071436,3.370573282
0.6187227413,1.04428494,3.370464563
0.6187343018,1.055108786,3.364957571
0.6187458841,1.047679663,3.368736744
0.6187574585,1.046651244,3.369260073
0.6187690282,1.040668845,3.37230587
0.6187805927,1.039873481,3.372710943
0.6187921782,1.044949532,3.370126247
0.6188037548,1.042224526,3.371513605
0.618815319,1.040760517,3.37225914
0.6188269065,1.044289231,3.370462418
0.6188384701,1.051766276,3.366657496
0.6188500371,1.05357194,3.365739107
0.6188616193,1.042918563,3.371160269
0.618873196,1.057878017,3.363549709
0.6188847476,1.038624644,3.373347044
0.6188963213,1.04801786,3.368564606
0.6189078932,1.049347162,3.367888212
0.6189194662,1.039382458,3.372961044
0.6189310377,1.04509151,3.370054007
0.6189426335,1.062011004,3.361449242
0.6189542031,1.047184825,3.368988514
0.6189657663,1.047242522,3.368959189
0.6189773305,1.040708065,3.372285843
0.6189888815,1.037089586,3.374129057
0.6190004953,1.039109588,3.373100042
0.6190120661,1.040970326,3.372152329
0.6190236261,1.04935658,3.367883444
0.6190352173,1.046198368,3.369490624
0.6190467712,1.043770313,3.370726585
0.6190583706,1.040352821,3.372466803
0.6190699326,1.036916852,3.374217033
0.6190815022,1.043109536,3.371062994
0.6190930763,1.036587,3.374385119
0.6191046351,1.039096952,3.37310648
0.6191162234,1.045718193,3.369735003
0.6191277928,1.040391684,3.372447014
0.6191393519,1.039365053,3.372969866
0.6191509442,1.048189402,3.368477345
0.6191625165,1.046181917,3.369498968
0.6191740709,1.048584819,3.368276119
0.6191856431,1.034574151,3.375410795
0.6191972241,1.039700747,3.37279892
0.6192087903,1.119452596,3.332354069
0.6192203788,1.087878227,3.348324537
0.6192319465,1.062238097,3.361333847
0.6192435265,1.041913629,3.371671915
0.6192550961,1.03766048,3.373838186
0.6192666642,1.041052699,3.372110367
0.6192782335,1.036334276,3.374513865
0.6192898073,1.046664,3.369253635
0.619301378,1.037544966,3.373897076
0.6193129632,1.040344834,3.372470856
0.6193245241,1.05021739,3.367445469
0.61933609,1.032646418,3.376393318
0.6193476745,1.045305133,3.369945288
0.6193592483,1.03511548,3.375134945
0.6193708267,1.035588503,3.374893904
0.6193823896,1.051220775,3.366935015
0.6193939598,1.037955403,3.373687983
0.6194055351,1.034828186,3.375281334
0.6194171025,1.033824205,3.37579298
0.6194286872,1.035796285,3.374788046
0.6194402499,1.037763,3.373785973
0.6194518272,1.040196419,3.372546434
0.6194634,1.032900453,3.376263857
0.6194749692,1.047898412,3.368625403
0.6194865392,1.056463957,3.364268541
0.6194981147,1.031820417,3.376814365
0.6195096982,1.036742806,3.374305725
0.61952126,1.036498547,3.37443018
0.6195328422,1.034705162,3.375344038
0.6195444122,1.042514443,3.371366024
0.6195559905,1.039371133,3.372966766
0.6195675504,1.045324326,3.369935513
0.6195791292,1.035612822,3.374881506
0.6195906869,1.036217332,3.374573469
0.6196022716,1.042949915,3.371144295
0.6196138384,1.035979629,3.374694586
0.6196254184,1.03791976,3.373706102
0.6196369982,1.034598947,3.375398159
0.6196485621,1.037386298,3.3739779
0.6196601413,1.062805057,3.361045837
0.6196717122,1.034009934,3.375698328
0.6196832907,1.038538098,3.373391151
0.6196948616,1.036046982,3.374660254
0.6197064169,1.036352515,3.374504566
0.6197179973,1.036832213,3.374260187
0.6197295639,1.036440969,3.374459505
0.6197411367,1.033146381,3.376138449
0.6197527116,1.036035776,3.374665976
0.6197642911,1.036553264,3.374402285
0.6197758718,1.035165548,3.375109434
0.6197874288,1.039605737,3.372847319
0.6197990037,1.031465411,3.376995325
0.6198105945,1.031958818,3.376743794
0.6198221633,1.028271318,3.378623962
0.6198337342,1.035410166,3.374984741
0.6198452925,1.036283374,3.374539852
0.6198568826,1.032219887,3.376610756
0.6198684591,1.048842073,3.368145227
0.6198800275,1.029889464,3.377798796
0.6198915928,1.040955305,3.372159958
0.6199031721,1.035921216,3.374724388
0.6199147406,1.043476224,3.370876312
0.6199263095,1.030547023,3.377463579
0.6199378757,1.033501506,3.375957489
0.6199494564,1.03004241,3.377720833
0.6199610411,1.034377694,3.375510931
0.619972605,1.052303433,3.366384268
0.6199841663,1.03509295,3.375146389
0.6199957371,1.029761434,3.377864122
0.6200073261,1.030364156,3.377556801
0.6200189039,1.045807719,3.369689465
0.6200304748,1.068107009,3.3583529
0.6200420499,1.037757874,3.373788595
0.6200536106,1.033747554,3.375832081
0.6200651827,1.054824233,3.365102291
0.6200767463,1.032414913,3.376511335
0.6200883209,1.042552829,3.371346474
0.6200999044,1.031024456,3.377220154
0.6201114726,1.033426166,3.375995874
0.6201230434,1.035450459,3.374964237
0.6201346227,1.030125618,3.377678394
0.620146201,1.031164289,3.377148867
0.620157775,1.034799695,3.375295878
0.62016933,1.034880638,3.375254631
0.6201809358,1.045017481,3.370091677
0.6201924921,1.030926704,3.377269983
0.6202040587,1.03705585,3.374146223
0.6202156339,1.03273201,3.376349688
0.6202272101,1.030819178,3.37732482
0.6202387677,1.03245604,3.376490355
0.62025035,1.032667041,3.376382828
0.6202619206,1.163152814,3.310340643
0.6202735302,1.030194402,3.377643347
0.6202850661,1.030607343,3.377432823
0.6202966331,1.031861544,3.376793385
0.6203082024,1.030041456,3.37772131
0.6203197796,1.028915525,3.378295422
0.6203313569,1.04040575,3.372439861
0.6203429215,1.029728651,3.377880812
0.6203545106,1.027636886,3.378947496
0.6203660672,1.034385204,3.375507116
0.6203776585,1.031731606,3.376859665
0.6203892322,1.058826923,3.363067389
0.6204008031,1.031697869,3.376876831
0.6204123733,1.03354311,3.37593627
0.6204239364,1.029148817,3.378176451
0.6204355093,1.031904578,3.37677145
0.6204471153,1.030734539,3.377367973
0.6204586523,1.02997458,3.377755404
0.62047024,1.04489851,3.370152235
0.6204817984,1.027891636,3.378817558
0.6204933717,1.02933073,3.378083706
0.6205049562,1.030548811,3.377462626
0.6205165228,1.026350498,3.379603624
0.6205281033,1.027133942,3.379204035
0.6205396696,1.049379945,3.367871523
0.6205512448,1.026756167,3.379396677
0.6205628199,1.027480722,3.379027128
0.6205743934,1.025635362,3.379968405
0.6205859519,1.029260635,3.378119469
0.6205975439,1.028262377,3.378628492
0.6206091126,1.030275345,3.3776021
0.6206206904,1.026639819,3.379456043
0.6206322564,1.029369593,3.378063917
0.6206438178,1.024699688,3.380445719
0.6206553905,1.031253576,3.377103329
0.6206669666,1.032827377,3.37630105
0.6206785467,1.032811999,3.376308918
0.6206901155,1.021636367,3.382008791
0.620701689,1.028343797,3.378587008
0.6207132648,1.031353712,3.377052307
0.6207248254,1.03215301,3.37664485
0.620736412,1.02319181,3.381215096
0.6207479923,1.025107265,3.380237818
0.6207595532,1.033771396,3.375819922
start,,
0.6207711184,1.023826838,3.380891085
0.6207827042,1.026771665,3.379388809
0.6207942779,1.023486137,3.381064892
0.6208058482,1.035391092,3.374994516
0.6208174172,1.031835437,3.376806736
0.6208289812,1.024001122,3.380802155
0.6208405709,1.031175494,3.377143145
0.6208521301,1.052896977,3.36608243
0.6208637012,2.940290928,2.498288393
0.6208752803,9.918459892,0.4731155634
0.620886865,23.83555222,-0.91669029
0.620898428,35.47753525,-1.198219061
0.620910011,39.20541763,-1.235045552
0.6209215633,39.86339951,-1.240131974
0.6209331492,40.21102142,-1.242675781
0.6209447249,40.61528397,-1.245515585
0.6209562918,40.69475555,-1.246059299
0.6209678642,40.29364014,-1.243266344
0.6209794333,39.87336349,-1.240206242
0.6209910148,39.58853912,-1.238051415
0.6210025816,39.28915405,-1.235713244
0.621014167,38.91373825,-1.232671619
0.6210257488,38.40246582,-1.228324294
0.6210373046,37.9785614,-1.224531889
0.6210488787,37.6377449,-1.221353412
0.6210604475,37.48158646,-1.219857216
0.6210720239,37.42227936,-1.21928227
0.6210836106,37.34474564,-1.218525052
0.6210951717,37.31776428,-1.21826005
0.6211067265,37.26631927,-1.217752576
0.6211183196,37.21845627,-1.217277885
0.6211298921,37.196064,-1.217054963
0.6211414686,37.1675148,-1.216769934
0.6211530207,37.04736328,-1.215560675
0.6211646072,36.93718719,-1.214437842
0.6211761797,36.84052658,-1.21344161
0.6211877563,36.79243088,-1.212942004
0.6211993166,36.75575256,-1.212559223
0.6212108998,36.69066238,-1.211876154
0.621222468,36.49862671,-1.209832549
0.6212340374,36.33860016,-1.208096623
0.6212456184,36.22712326,-1.206869364
0.6212571882,36.16793442,-1.206211686
0.6212687674,36.12217331,-1.205700278
0.6212803203,36.10203171,-1.205474377
0.6212919026,36.07873154,-1.205212474
0.6213034651,35.95007324,-1.203754067
0.6213150499,35.79162979,-1.201929808
0.6213266169,35.68613052,-1.200697541
0.6213381958,35.53357315,-1.198890448
0.6213497749,35.40554047,-1.197350502
0.6213613313,35.30322647,-1.196104407
0.6213729191,35.21437073,-1.195010901
0.621384489,35.15470886,-1.19427073
0.621396061,35.07476044,-1.193271279
0.6214076303,34.9760437,-1.192025185
0.6214192088,34.85864639,-1.19052577
0.6214307852,34.77587891,-1.189457059
0.6214423494,34.69552612,-1.188410282
0.6214539248,34.61629486,-1.187369108
0.6214655006,34.55793762,-1.186596513
0.6214770687,34.48889923,-1.185676098
0.6214886301,34.38667679,-1.184300542
0.6215002347,34.29267883,-1.183022142
0.6215117793,34.22031784,-1.182029009
0.6215233503,34.153965,-1.181111455
0.6215349221,34.06620407,-1.179887652
0.6215464954,33.97878647,-1.178656936
0.6215580673,33.91464233,-1.177746415
0.6215696577,33.82351303,-1.176441908
0.6215812279,33.72179413,-1.174970388
0.6215927867,33.6254921,-1.173562169
0.6216043655,33.54138947,-1.172320247
0.6216159438,33.43870544,-1.170788407
0.6216275092,33.29767227,-1.168656349
0.6216390891,33.20772552,-1.167279482
0.6216506657,33.10406876,-1.165675879
0.6216622361,33.03148651,-1.164542198
0.6216738217,32.96453094,-1.163488388
0.6216853675,32.9210434,-1.162799835
0.621696951,32.88113785,-1.162165165
0.6217085215,32.86310196,-1.161877394
0.6217201036,32.77634811,-1.160485268
0.6217316728,32.62120056,-1.15796268
0.6217432322,32.49984741,-1.155959725
0.6217548104,32.38975143,-1.154119492
0.6217663883,32.28093719,-1.1522789
0.6217779569,32.20223236,-1.150933981
0.621789542,32.12800598,-1.149654985
0.6218011161,32.05557251,-1.14839685
0.6218126916,31.98197365,-1.147108316
0.6218242571,31.91185379,-1.145871043
0.6218358315,31.82453346,-1.144317031
0.6218473992,31.76112747,-1.143179297
0.6218589795,31.70682526,-1.142198682
0.6218705428,31.69137764,-1.141918659
0.6218821265,31.5827446,-1.13993609
0.6218936838,31.48552513,-1.138141871
0.621905275,31.41078377,-1.136749506
0.621916836,31.34081268,-1.1354357
0.6219284098,31.28508186,-1.134382129
0.6219400233,31.19824791,-1.132727742
0.621951576,31.08590126,-1.130563974
0.6219631375,31.01177597,-1.12912178
0.621974716,30.89882278,-1.126901627
0.6219862823,30.83218384,-1.125579
0.6219978526,30.72835732,-1.123499036
0.622009424,30.63712692,-1.121651888
0.6220210083,30.56205559,-1.120118141
0.622032574,30.49112129,-1.118657351
0.6220441473,30.43526649,-1.117499113
0.6220557347,30.34211731,-1.115551829
0.6220672928,30.23998833,-1.113394022
0.6220788678,30.18092728,-1.112135172
0.6220904459,30.10792351,-1.110567927
0.622102012,30.05082893,-1.109333515
0.6221135947,29.97359657,-1.107651472
0.6221251611,29.88574409,-1.105720878
0.6221367356,29.80205536,-1.103864551
0.622148317,29.75584221,-1.102832198
