Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6869400510	3.7173748016	2.1896574497
0.6869516293	3.5876986980	2.2393636703
0.6869632016	4.1469531059	2.0299165249
0.6869747595	5.0582981110	1.7147676945
0.6869863365	19.4176387787	-0.6747810841
0.6869979498	22.6734848022	-0.8638624549
0.6870094894	24.8164405823	-0.9563673139
0.6870210650	24.3744888306	-0.9390133619
0.6870326420	22.2827587128	-0.8445457220
0.6870442197	25.4809074402	-0.9809376001
0.6870557950	24.6037445068	-0.9481196404
0.6870673705	24.8028526306	-0.9558461308
0.6870789320	22.1762561798	-0.8391365409
0.6870905148	24.5268764496	-0.9450916052
0.6871020801	25.0979270935	-0.9669932127
0.6871136698	25.0709800720	-0.9659900069
0.6871252276	7.4074516296	1.0328729153
0.6871368091	2.7154760361	2.5925529003
0.6871483779	2.7158036232	2.5924139023
0.6871599616	2.7963867188	2.5583612919
0.6871715416	2.7449319363	2.5800704956
0.6871831083	2.7256796360	2.5882244110
0.6871946847	2.9240353107	2.5050272942
0.6872062586	2.9987862110	2.4741370678
0.6872178361	3.0290801525	2.4616897106
0.6872294226	2.9153628349	2.5086274147
0.6872409649	3.0343306065	2.4595365524
0.6872525535	2.9282045364	2.5032978058
0.6872641272	2.8543827534	2.5340375900
0.6872756922	2.7774004936	2.5663576126
0.6872872694	3.9564712048	2.0998277664
0.6872988556	13.8604001999	-0.1483005285
0.6873104218	14.6151237488	-0.2397747785
0.6873219896	5.7321596146	1.5010346174
0.6873335647	1.8015930653	3.0003874302
0.6873451389	2.1201136112	2.8536167145
0.6873567050	2.0736889839	2.8746933937
0.6873682839	1.8679584265	2.9693861008
0.6873798616	1.9272130728	2.9418950081
0.6873914387	2.2630450726	2.7893908024
0.6874030031	2.6580674648	2.6169960499
0.6874145798	2.7861599922	2.5626664162
0.6874261517	2.4040479660	2.7270026207
0.6874377295	2.7540771961	2.5762031078
0.6874493084	2.1898312569	2.8221645355
0.6874609060	3.3580961227	2.3291113377
0.6874724615	5.7639813423	1.4913238287
0.6874840400	8.3228330612	0.8109098077
0.6874956117	13.8163862228	-0.1427305043
0.6875071885	14.6381292343	-0.2424467653
0.6875187587	17.0621356964	-0.4896165431
0.6875303160	16.7559757233	-0.4618745148
0.6875419084	15.7019481659	-0.3589797616
start
0.6875534886	16.0231876373	-0.3915984631
0.6875650474	13.8910274506	-0.1521606147
0.6875766481	3.1259539127	2.4221599102
0.6875881909	1.9452569485	2.9335587025
0.6875997794	1.9677227736	2.9232022762
0.6876113531	1.9634822607	2.9251551628
0.6876229111	1.9790142775	2.9180066586
0.6876344980	1.9589033127	2.9272649288
0.6876460847	1.9616279602	2.9260094166
0.6876576422	1.9426274300	2.9347724915
0.6876692168	1.9831384420	2.9161105156
0.6876807933	1.9785243273	2.9182319641
0.6876923662	1.9605056047	2.9265265465
0.6877039445	1.9472980499	2.9326167107
0.6877155229	1.9515548944	2.9306528568
0.6877270815	1.9597342014	2.9268820286
